"Time / ps","DonorIdx","AccptIdx","PHT / eV"
4800.0,39,106,0.16108864559420866
4800.0,39,40,-0.02265812810301521
4850.0,39,106,-0.13739943053398296
4850.0,39,40,0.019159766392556534
4900.0,39,106,-0.15806508928143734
4900.0,39,40,0.04367306415774188
4950.0,39,106,-0.11265985325825972
4950.0,39,40,0.02890841332241927
5000.0,39,106,-0.17108360056643446
5000.0,39,40,0.03369879827057093
5050.0,39,106,-0.14619919138161225
5050.0,39,40,0.03638605105272028
5100.0,39,106,0.10279827926625838
5100.0,39,40,0.030948262769921166
5150.0,39,106,-0.08357336516146846
5150.0,39,40,-0.01130047632734986
5200.0,39,106,-0.17284937842607098
5200.0,39,40,0.0268828782621372
5250.0,39,106,-0.1383651396382463
5250.0,39,40,-0.023959019272508267
5300.0,39,106,-0.1341258051151489
5300.0,39,40,-0.029163486933746506
5350.0,39,106,-0.18802052509505213
5350.0,39,40,0.01324138735114845
5400.0,39,106,0.1550041938919723
5400.0,39,40,0.011513265809548008
5450.0,39,106,-0.16130457608906723
5450.0,39,40,-0.011042934890790472
5500.0,39,106,-0.17293716252371025
5500.0,39,40,0.04048050850462287
5550.0,39,106,-0.13233612932016342
5550.0,39,40,0.01693809312807988
5600.0,39,106,-0.2066011869962308
5600.0,39,40,-0.01546247770338178
5650.0,39,106,-0.1232598987967767
5650.0,39,40,0.019935625735635103
5700.0,39,106,-0.1798393616535577
5700.0,39,40,-0.005748664964355857
5750.0,39,106,0.06381375418602729
5750.0,39,40,-0.02101545469920399
5800.0,39,106,0.16451439690470912
5800.0,39,40,-0.04449658887537346
5850.0,39,106,-0.17637803765094703
5850.0,39,40,-0.004103302533202096
5900.0,39,106,-0.13898307361964019
5900.0,39,40,-0.008013250175172596
5950.0,39,106,0.18457207108966847
5950.0,39,40,0.022786220577318078
6000.0,39,106,-0.1935816328422108
6000.0,39,40,-0.009423303032104228
6050.0,39,106,-0.18767326834482162
6050.0,39,40,-0.0004580271180822141
6100.0,39,106,0.256328714298531
6100.0,39,40,-0.02812314701015763
6150.0,39,106,-0.16222669814303992
6150.0,39,40,-0.004448360582005692
6200.0,39,106,-0.15983323340610572
6200.0,39,40,0.01906005377507015
6250.0,39,106,0.13183117458878132
6250.0,39,40,-0.0451898999705659
6300.0,39,106,0.08745016966490644
6300.0,39,40,-0.009081728504955058
6350.0,39,106,0.14132849224873462
6350.0,39,40,-0.0037902477006664156
6400.0,39,106,0.2303066549653404
6400.0,39,40,0.0028266296210202363
6450.0,39,106,0.07205428062139355
6450.0,39,40,0.018563009997653996
6500.0,39,106,-0.1586863916559716
6500.0,39,40,-0.00015802481268827298
6550.0,39,106,0.241401503305221
6550.0,39,40,0.02117346273098448
6600.0,39,106,0.19986782428379443
6600.0,39,40,-0.015233210707637638
6650.0,39,106,-0.13684801086667786
6650.0,39,40,-0.015983960859427836
6700.0,39,106,0.17720812853055268
6700.0,39,40,0.01431085155298846
6750.0,39,106,0.19491865904780883
6750.0,39,40,0.042821874905497534
6800.0,39,106,0.12949317845495412
6800.0,39,40,-0.006472569191713105
6850.0,39,106,0.20904587213266046
6850.0,39,40,-0.010216682283431873
6900.0,39,106,-0.17877038589405894
6900.0,39,40,-0.005621824493061312
6950.0,39,106,0.17402338512401333
6950.0,39,40,-0.008102640851605445
7000.0,39,106,-0.15732891426185996
7000.0,39,40,-0.039229802896751084
7050.0,39,106,-0.17779572152316384
7050.0,39,40,0.028487571560448958
7100.0,39,106,0.1637993370438833
7100.0,39,40,0.02412060227146707
7150.0,39,106,0.20487910424288108
7150.0,39,40,0.03313381270734202
7200.0,39,106,0.1580659966565878
7200.0,39,40,-0.014004121653427903
7250.0,39,106,0.175573550510849
7250.0,39,40,-0.025160870503633057
7300.0,39,106,0.15443736699029917
7300.0,39,40,-0.032919509549633665
7350.0,39,106,-0.16855768316721412
7350.0,39,40,-0.03749058305633037
7400.0,39,106,-0.24036945708930402
7400.0,39,40,-0.02094211936376265
7450.0,39,106,0.14034777194009054
7450.0,39,40,0.01771535776076511
7500.0,39,106,-0.22323423997196817
7500.0,39,40,-0.04329955864738204
7550.0,39,106,0.11613399311662795
7550.0,39,40,0.005173735499007596
7600.0,39,106,0.13977687985251253
7600.0,39,40,0.013496098431870222
7650.0,39,106,-0.1371640830378262
7650.0,39,40,0.016667130344362537
7700.0,39,106,-0.1383614107552989
7700.0,39,40,0.02072430773534069
7750.0,39,106,0.1302993420264663
7750.0,39,40,-0.023506257095697522
7800.0,39,106,-0.21950095681018025
7800.0,39,40,0.014025348394720034
7850.0,39,106,0.1755370257298575
7850.0,39,40,0.032995780632641726
7900.0,39,106,0.20936396330670615
7900.0,39,40,-0.005609639503204482
7950.0,39,106,-0.21548953630180342
7950.0,39,40,-0.01886345864541778
8000.0,39,106,0.12098879228630625
8000.0,39,40,0.03728772877515849
8050.0,39,106,-0.18088604950428286
8050.0,39,40,-0.020154383146431778
8100.0,39,106,-0.21464017708821836
8100.0,39,40,-0.013488815806661043
8150.0,39,106,0.17611860875776542
8150.0,39,40,-0.03499947613195366
8200.0,39,106,-0.13819773972415667
8200.0,39,40,-0.007608478078926049
8250.0,39,106,0.14977168538647628
8250.0,39,40,0.04321434493624237
8300.0,39,106,0.1424025471783525
8300.0,39,40,-0.019874099954667365
8350.0,39,106,-0.16164308166795005
8350.0,39,40,0.02500061149305659
8400.0,39,106,0.1382217399393199
8400.0,39,40,-0.027620305943736573
8450.0,39,106,-0.21666817137617117
8450.0,39,40,0.01742539440585741
8500.0,39,106,-0.19150052860445646
8500.0,39,40,0.00611247428400537
8550.0,39,106,-0.1509510814106401
8550.0,39,40,-0.031050714348582375
8600.0,39,106,0.15787914926825997
8600.0,39,40,-0.008071514974650052
8650.0,39,106,-0.14824045053772522
8650.0,39,40,-0.034218812846677896
8700.0,39,106,-0.19599116463164426
8700.0,39,40,-0.03862760438551478
